ionIdx	ionMz		001 / F5_185_PE_T16_1_F5_185_PE	002 / F5_185_PE_T16_1_F5_185_PE	003 / F5_262_PE_T0_1_F5_262_PE	004 / F5_262_PE_T0_1_F5_262_PE	005 / Neg_PE_T0_3_no_PE	006 / Neg_PE_T0_3_no_PE	007 / F5_351_PE_T0_3_F5_351_PE	008 / F5_351_PE_T0_3_F5_351_PE	009 / F5_186_PE_T16_5_F5_186_PE	010 / F5_186_PE_T16_5_F5_186_PE	011 / F5_186_PE_T16_3_F5_186_PE	012 / F5_186_PE_T16_3_F5_186_PE	013 / F5_259_PE_T16_1_F5_259_PE	014 / F5_259_PE_T16_1_F5_259_PE	015 / F5_261_PE_T0_3_F5_261_PE	016 / F5_261_PE_T0_3_F5_261_PE	017 / F5_352_PE_T0_2_F5_352_PE	018 / F5_352_PE_T0_2_F5_352_PE	019 / F5_353_PE_T0_3_F5_353_PE	020 / F5_353_PE_T0_3_F5_353_PE	021 / F5_186_PE_T0_5_F5_186_PE	022 / F5_186_PE_T0_5_F5_186_PE	023 / F5_260_PE_T0_3_F5_260_PE	024 / F5_260_PE_T0_3_F5_260_PE	025 / F5_353_PE_T0_1_F5_353_PE	026 / F5_353_PE_T0_1_F5_353_PE	027 / F5_185_PE_T16_3_F5_185_PE	028 / F5_185_PE_T16_3_F5_185_PE	029 / F5_184_PE_T0_5_F5_184_PE	030 / F5_184_PE_T0_5_F5_184_PE	031 / F5_184_PE_T16_3_F5_184_PE	032 / F5_184_PE_T16_3_F5_184_PE	033 / F5_186_PE_T0_1_F5_186_PE	034 / F5_186_PE_T0_1_F5_186_PE	035 / F5_184_PE_T0_3_F5_184_PE	036 / F5_184_PE_T0_3_F5_184_PE	037 / Neg_PE_T0_2_no_PE	038 / Neg_PE_T0_2_no_PE	039 / F5_183_PE_T0_3_F5_183_PE	040 / F5_183_PE_T0_3_F5_183_PE	041 / F5_260_PE_T0_2_F5_260_PE	042 / F5_260_PE_T0_2_F5_260_PE	043 / F5_184_PE_T0_4_F5_184_PE	044 / F5_184_PE_T0_4_F5_184_PE	045 / F5_185_PE_T0_1_F5_185_PE	046 / F5_185_PE_T0_1_F5_185_PE	047 / F5_184_PE_T0_1_F5_184_PE	048 / F5_184_PE_T0_1_F5_184_PE	049 / F5_350_PE_T0_1_F5_350_PE	050 / F5_350_PE_T0_1_F5_350_PE	051 / F5_263_PE_T0_1_F5_263_PE	052 / F5_263_PE_T0_1_F5_263_PE	053 / F5_184_PE_T16_4_F5_184_PE	054 / F5_184_PE_T16_4_F5_184_PE	055 / F5_259_PE_T0_1_F5_259_PE	056 / F5_259_PE_T0_1_F5_259_PE	057 / F5_352_PE_T0_3_F5_352_PE	058 / F5_352_PE_T0_3_F5_352_PE	059 / F5_259_PE_T0_4_F5_259_PE	060 / F5_259_PE_T0_4_F5_259_PE	061 / F5_261_PE_T0_4_F5_261_PE	062 / F5_261_PE_T0_4_F5_261_PE	063 / F5_260_PE_T0_4_F5_260_PE	064 / F5_260_PE_T0_4_F5_260_PE	065 / F5_183_PE_T0_4_F5_183_PE	066 / F5_183_PE_T0_4_F5_183_PE	067 / F5_185_PE_T0_3_F5_185_PE	068 / F5_185_PE_T0_3_F5_185_PE	069 / F5_260_PE_T0_5_F5_260_PE	070 / F5_260_PE_T0_5_F5_260_PE	071 / F5_354_PE_T0_5_F5_354_PE	072 / F5_354_PE_T0_5_F5_354_PE	073 / F5_352_PE_T0_4_F5_352_PE	074 / F5_352_PE_T0_4_F5_352_PE	075 / F5_351_PE_T0_1_F5_351_PE	076 / F5_351_PE_T0_1_F5_351_PE	077 / F5_350_PE_T0_5_F5_350_PE	078 / F5_350_PE_T0_5_F5_350_PE	079 / F5_259_PE_T0_2_F5_259_PE	080 / F5_259_PE_T0_2_F5_259_PE	081 / F5_261_PE_T0_1_F5_261_PE	082 / F5_261_PE_T0_1_F5_261_PE	083 / F5_185_PE_T0_5_F5_185_PE	084 / F5_185_PE_T0_5_F5_185_PE	085 / F5_185_PE_T0_2_F5_185_PE	086 / F5_185_PE_T0_2_F5_185_PE	087 / F5_186_PE_T0_4_F5_186_PE	088 / F5_186_PE_T0_4_F5_186_PE	089 / F5_263_PE_T0_2_F5_263_PE	090 / F5_263_PE_T0_2_F5_263_PE	091 / F5_183_PE_T0_5_F5_183_PE	092 / F5_183_PE_T0_5_F5_183_PE	093 / F5_186_PE_T16_2_F5_186_PE	094 / F5_186_PE_T16_2_F5_186_PE	095 / F5_183_PE_T16_1_F5_183_PE	096 / F5_183_PE_T16_1_F5_183_PE	097 / F5_262_PE_T0_4_F5_262_PE	098 / F5_262_PE_T0_4_F5_262_PE	099 / F5_350_PE_T0_2_F5_350_PE	100 / F5_350_PE_T0_2_F5_350_PE	101 / F5_185_PE_T16_2_F5_185_PE	102 / F5_185_PE_T16_2_F5_185_PE	103 / F5_353_PE_T0_5_F5_353_PE	104 / F5_353_PE_T0_5_F5_353_PE	105 / Neg_PE_T0_5_no_PE	106 / Neg_PE_T0_5_no_PE	107 / F5_186_PE_T16_1_F5_186_PE	108 / F5_186_PE_T16_1_F5_186_PE	109 / F5_261_PE_T0_2_F5_261_PE	110 / F5_261_PE_T0_2_F5_261_PE	111 / F5_263_PE_T0_5_F5_263_PE	112 / F5_263_PE_T0_5_F5_263_PE	113 / F5_263_PE_T0_4_F5_263_PE	114 / F5_263_PE_T0_4_F5_263_PE	115 / F5_184_PE_T16_2_F5_184_PE	116 / F5_184_PE_T16_2_F5_184_PE	117 / F5_262_PE_T0_5_F5_262_PE	118 / F5_262_PE_T0_5_F5_262_PE	119 / F5_183_PE_T0_2_F5_183_PE	120 / F5_183_PE_T0_2_F5_183_PE	121 / F5_259_PE_T0_3_F5_259_PE	122 / F5_259_PE_T0_3_F5_259_PE	123 / F5_259_PE_T0_5_F5_259_PE	124 / F5_259_PE_T0_5_F5_259_PE	125 / F5_183_PE_T16_3_F5_183_PE	126 / F5_183_PE_T16_3_F5_183_PE	127 / F5_183_PE_T16_4_F5_183_PE	128 / F5_183_PE_T16_4_F5_183_PE	129 / F5_183_PE_T0_1_F5_183_PE	130 / F5_183_PE_T0_1_F5_183_PE	131 / F5_350_PE_T0_3_F5_350_PE	132 / F5_350_PE_T0_3_F5_350_PE	133 / F5_353_PE_T0_4_F5_353_PE	134 / F5_353_PE_T0_4_F5_353_PE	135 / F5_350_PE_T0_4_F5_350_PE	136 / F5_350_PE_T0_4_F5_350_PE	137 / F5_352_PE_T0_5_F5_352_PE	138 / F5_352_PE_T0_5_F5_352_PE	139 / F5_186_PE_T16_4_F5_186_PE	140 / F5_186_PE_T16_4_F5_186_PE	141 / Neg_PE_T0_1_no_PE	142 / Neg_PE_T0_1_no_PE	143 / F5_260_PE_T0_1_F5_260_PE	144 / F5_260_PE_T0_1_F5_260_PE	145 / F5_185_PE_T16_5_F5_185_PE	146 / F5_185_PE_T16_5_F5_185_PE	147 / F5_354_PE_T0_2_F5_354_PE	148 / F5_354_PE_T0_2_F5_354_PE	149 / F5_353_PE_T0_2_F5_353_PE	150 / F5_353_PE_T0_2_F5_353_PE	151 / F5_262_PE_T0_3_F5_262_PE	152 / F5_262_PE_T0_3_F5_262_PE	153 / Neg_PE_T0_4_no_PE	154 / Neg_PE_T0_4_no_PE	155 / F5_354_PE_T0_1_F5_354_PE	156 / F5_354_PE_T0_1_F5_354_PE	157 / F5_352_PE_T0_1_F5_352_PE	158 / F5_352_PE_T0_1_F5_352_PE	159 / F5_261_PE_T0_5_F5_261_PE	160 / F5_261_PE_T0_5_F5_261_PE	161 / F5_184_PE_T16_1_F5_184_PE	162 / F5_184_PE_T16_1_F5_184_PE	163 / F5_184_PE_T0_2_F5_184_PE	164 / F5_184_PE_T0_2_F5_184_PE	165 / F5_183_PE_T16_5_F5_183_PE	166 / F5_183_PE_T16_5_F5_183_PE	167 / F5_351_PE_T0_4_F5_351_PE	168 / F5_351_PE_T0_4_F5_351_PE	169 / F5_184_PE_T16_5_F5_184_PE	170 / F5_184_PE_T16_5_F5_184_PE	171 / F5_354_PE_T0_4_F5_354_PE	172 / F5_354_PE_T0_4_F5_354_PE	173 / F5_354_PE_T0_3_F5_354_PE	174 / F5_354_PE_T0_3_F5_354_PE	175 / F5_183_PE_T16_2_F5_183_PE	176 / F5_183_PE_T16_2_F5_183_PE	177 / F5_186_PE_T0_2_F5_186_PE	178 / F5_186_PE_T0_2_F5_186_PE	179 / F5_351_PE_T0_5_F5_351_PE	180 / F5_351_PE_T0_5_F5_351_PE	181 / F5_185_PE_T0_4_F5_185_PE	182 / F5_185_PE_T0_4_F5_185_PE	183 / F5_262_PE_T0_2_F5_262_PE	184 / F5_262_PE_T0_2_F5_262_PE	185 / F5_263_PE_T0_3_F5_263_PE	186 / F5_263_PE_T0_3_F5_263_PE	187 / F5_185_PE_T16_4_F5_185_PE	188 / F5_185_PE_T16_4_F5_185_PE	189 / F5_186_PE_T0_3_F5_186_PE	190 / F5_186_PE_T0_3_F5_186_PE	191 / F5_351_PE_T0_2_F5_351_PE	192 / F5_351_PE_T0_2_F5_351_PE	193 / F5_350_PE_T16_5_F5_350_PE	194 / F5_350_PE_T16_5_F5_350_PE	195 / cfMRS_3_no_no	196 / cfMRS_3_no_no	197 / F5_352_PE_T16_5_F5_352_PE	198 / F5_352_PE_T16_5_F5_352_PE	199 / F5_263_PE_T16_2_F5_263_PE	200 / F5_263_PE_T16_2_F5_263_PE	201 / F5_262_PE_T16_1_F5_262_PE	202 / F5_262_PE_T16_1_F5_262_PE	203 / F5_259_PE_T16_3_F5_259_PE	204 / F5_259_PE_T16_3_F5_259_PE	205 / F5_351_PE_T16_3_F5_351_PE	206 / F5_351_PE_T16_3_F5_351_PE	207 / Neg_PE_T16_5_no_PE	208 / Neg_PE_T16_5_no_PE	209 / F5_262_PE_T16_2_F5_262_PE	210 / F5_262_PE_T16_2_F5_262_PE	211 / F5_260_PE_T16_2_F5_260_PE	212 / F5_260_PE_T16_2_F5_260_PE	213 / F5_351_PE_T16_2_F5_351_PE	214 / F5_351_PE_T16_2_F5_351_PE	215 / cfMRS_2_no_no	216 / cfMRS_2_no_no	217 / F5_262_PE_T16_3_F5_262_PE	218 / F5_262_PE_T16_3_F5_262_PE	219 / Neg_PE_T16_4_no_PE	220 / Neg_PE_T16_4_no_PE	221 / F5_351_PE_T16_5_F5_351_PE	222 / F5_351_PE_T16_5_F5_351_PE	223 / F5_353_PE_T16_2_F5_353_PE	224 / F5_353_PE_T16_2_F5_353_PE	225 / F5_350_PE_T16_3_F5_350_PE	226 / F5_350_PE_T16_3_F5_350_PE	227 / F5_354_PE_T16_3_F5_354_PE	228 / F5_354_PE_T16_3_F5_354_PE	229 / F5_352_PE_T16_2_F5_352_PE	230 / F5_352_PE_T16_2_F5_352_PE	231 / F5_351_PE_T16_4_F5_351_PE	232 / F5_351_PE_T16_4_F5_351_PE	233 / F5_262_PE_T16_4_F5_262_PE	234 / F5_262_PE_T16_4_F5_262_PE	235 / F5_263_PE_T16_3_F5_263_PE	236 / F5_263_PE_T16_3_F5_263_PE	237 / F5_263_PE_T16_5_F5_263_PE	238 / F5_263_PE_T16_5_F5_263_PE	239 / F5_354_PE_T16_1_F5_354_PE	240 / F5_354_PE_T16_1_F5_354_PE	241 / F5_353_PE_T16_3_F5_353_PE	242 / F5_353_PE_T16_3_F5_353_PE	243 / F5_350_PE_T16_4_F5_350_PE	244 / F5_350_PE_T16_4_F5_350_PE	245 / F5_261_PE_T16_4_F5_261_PE
1	55.0186		4554	5243	6224	8768	8033	9131	7324	10122	5825	4074	4624	4925	4433	4935	8190	7140	9160	7868	7622	6982	7532	7816	6730	6894	9390	7993	5502	6010	5701	6704	4454	5975	6862	7436	7100	7557	7686	8715	9506	8190	6749	5643	7142	8073	8543	7752	7818	6961	8167	7829	6209	6499	5388	5898	8594	7284	9074	8369	7665	7611	8278	6961	7075	8864	8147	8584	8075	7872	6157	6911	6926	8086	6518	5702	7483	7770	8742	7995	7553	7722	7109	7315	8437	8402	6686	6678	7012	5749	7324	7799	9557	7276	5342	5499	5082	4076	8793	5845	7907	6335	4950	5352	6542	6921	8138	8134	3493	3739	6553	6979	6724	5853	5349	6096	5204	5894	6951	6412	7155	8310	6091	7995	6731	7001	5776	4975	3579	4669	7779	6672	6856	4727	7092	7510	8310	6077	7464	6749	5044	4602	7784	9054	6577	6579	3849	7014	6595	6985	7406	5964	7626	8578	8529	6940	7148	6775	6308	7333	5326	8507	5285	4500	7270	8156	5377	3960	6712	8752	6187	4762	9643	10724	8386	6270	4129	4832	7864	6865	6119	6308	8747	6650	6399	8409	6842	6586	5981	5335	7324	7673	7362	8754	5186	6341	2848	4290	5041	4736	4774	6404	5750	4572	3908	4564	4202	5527	8991	8342	3374	5014	4765	5958	5867	7433	3048	2926	4082	5304	8330	8980	5283	5410	5944	4123	4952	3529	5072	5379	4915	6908	5103	6383	5938	4508	3773	6410	4836	6024	6145	5246	4666	6093	5875	4599	4042
2	57.0343		14811	18747	16928	18267	18569	20056	16663	15555	15320	14548	13469	15484	14064	14946	17495	19169	20812	19156	20258	17659	21654	19053	18611	18344	18215	19204	16501	16873	15395	16820	14326	15302	19593	18532	17930	18474	18104	18309	19192	17923	17876	13776	16386	20460	18444	19936	17340	16753	17087	20111	19929	17942	14393	16140	17814	19236	18453	19499	18262	18316	18859	19316	19772	18927	17563	22315	17193	18771	18797	17480	16364	18771	16287	17862	20023	17354	20319	16056	18266	18941	17330	17801	18209	17721	18168	16325	18445	15980	21986	20314	17168	17930	14644	14123	12739	12284	16421	19183	19993	19117	13907	15990	18974	17866	19694	19053	13437	14332	17563	17392	17895	17873	13801	19243	14468	13766	16183	17857	18526	17743	17304	17872	18087	15990	14231	11945	12488	14163	16095	18619	18750	16868	17598	17869	17792	14811	18172	16126	12726	16132	20926	17298	16861	16271	13522	15124	14914	17509	14781	16973	19151	19700	17510	18066	15123	17831	16282	19695	16920	18463	14292	15972	16861	17261	14280	11264	16372	18636	14738	11554	24149	23199	15131	16470	15136	10781	19768	16759	15192	17857	18593	19696	15837	18765	19676	19319	11434	15661	18890	21655	19301	18818	12609	15739	6701	7144	14557	12758	12577	14416	14512	13311	14604	12766	14917	13142	19770	17952	12759	14839	14968	14381	13727	15163	5145	4497	12353	14764	17902	18096	14681	15605	13476	15667	12459	13247	16280	13837	12119	14104	12682	12073	13080	12682	13430	13297	15649	11881	12497	13960	15596	14095	13056	14276	12868
3	58.0057		774	895	5153	5991	6199	4616	4429	5858	365	591	461	817	475	791	6385	5753	5203	5501	5978	5798	6972	3721	5607	6164	6030	5415	1735	807	5668	4145	1524	788	4664	5731	6090	5642	4568	6070	4665	3961	2865	4231	6081	5636	5610	4834	3539	4054	4565	5183	4576	5342	1407	1157	7301	5200	4586	4360	6801	6836	4227	5492	5062	4532	6445	5594	5117	4041	4275	5760	4240	4261	5149	5796	4958	4151	4033	5035	4266	6278	4943	4934	5327	4672	4317	3746	4339	4915	4590	4539	6282	5119	294	541	473	754	4019	3919	5083	5059	738	1016	5362	4368	3538	4175	551	547	4466	4933	3499	4470	4323	4162	688	907	3598	4877	4042	4680	3596	4197	4133	6000	481	978	499	240	4859	3089	3061	4098	3105	5574	4364	5786	4346	4450	964	445	4268	3303	4477	3948	634	431	5246	5610	3292	5808	4900	5382	4017	5190	4896	4408	4224	4543	4808	4985	1013	914	3944	6150	1194	1034	4441	4448	1416	1152	10421	7395	4834	4312	375	364	5432	5566	4461	4296	5995	5574	4135	5759	5419	4198	725	803	5676	4025	5404	5424	1133	692	79	131	2087	1448	644	325	760	739	1076	506	659	359	2687	4450	728	249	140	542	1015	1165	214	704	779	759	3478	4676	1279	711	1413	582	625	621	836	1285	1255	857	913	1196	737	540	679	336	633	632	349	700	738	623	438	784	205
4	59.0135		93195	93448	175686	174782	161618	169725	178923	177781	86194	81980	85671	90850	74828	78263	171911	177071	178475	189945	184123	182325	184870	185468	175195	167797	170359	173031	93420	90492	168000	165380	87016	85488	172078	177870	167160	172461	164004	172338	172170	169141	156297	161100	162787	175452	176097	174776	168312	171298	180927	175770	189020	175492	91948	87805	177461	180708	182956	180186	164174	179643	174366	173508	170794	180382	179084	182115	175426	174028	168898	169240	171576	164258	168425	166620	179498	178813	169605	181597	177396	173594	166124	172573	166466	167727	162877	154929	167380	171759	174036	177679	162424	172168	84521	77588	76929	71173	158801	152335	158899	166176	85003	78541	165830	161902	164701	167015	75303	73414	166387	168394	156123	155681	160985	161997	82587	86525	158883	159408	162044	170308	149215	149042	162705	169638	71560	69158	74084	76618	155925	160346	158219	152211	159595	168431	161081	167508	156672	166041	77020	77890	159567	155400	158504	159712	79265	82862	164423	168562	162225	165721	158423	165401	166606	168993	161777	165511	155575	163482	157538	166322	82434	85164	155168	169575	77387	71616	163605	174229	103808	94663	195826	192032	172755	174516	70364	76954	176413	176461	171678	172573	170209	163954	172915	171123	173109	174786	88002	88040	175346	167608	160664	169225	68345	68298	124400	144233	90569	94467	76300	71146	74322	77561	67298	70594	101665	98317	167879	179082	81361	81642	64128	66502	99277	106892	127463	133905	76251	75039	187680	184585	109104	105950	104135	96838	67594	70141	78532	77856	79915	78224	104511	98498	71966	69740	73001	74817	67592	71168	79214	76678	95432	103061	71391	71988	62842
5	67.0186		3318	5953	6596	6842	6028	5508	5012	5648	1864	1569	1571	1457	900	1491	7154	3601	5941	4046	6584	6538	5932	8083	4787	5335	4947	4906	5443	4936	5070	5105	1465	1820	3935	6571	4950	5659	5282	5540	5430	6175	5511	3769	4961	5656	6127	6264	5725	4833	6575	6478	5593	4994	2075	947	4549	4211	5541	6151	5839	3497	5434	6525	5574	4871	6767	5938	4998	4898	5056	4858	4780	4719	4635	4251	4298	5756	5054	6217	3356	6423	6071	4235	5678	6195	5627	6044	5036	3971	4576	6116	4751	5926	1007	1072	1123	1712	4381	4292	7545	5890	4442	5189	5640	6040	6296	5298	1647	853	5436	4953	6015	4025	5593	5465	1167	1856	5879	3850	5538	5457	5153	4043	4865	4149	1818	1110	1028	1286	5199	5439	4544	4386	3975	5483	6778	5864	3721	5119	1722	1270	5235	6637	4776	5586	5201	3824	4313	6028	5284	5217	5336	5274	5512	5032	5584	5642	4607	6864	4779	5833	1908	1222	4489	6093	847	958	6283	5245	3221	1961	7105	7257	4782	4532	1041	1402	4201	5483	4606	6006	6104	5827	4136	3943	4660	5513	6531	4908	6252	5463	6967	3881	2113	1736	3490	2916	1090	2388	1430	996	1373	1503	1151	1697	1953	967	5524	5390	1548	1475	879	1180	1638	1655	1883	2683	1493	1215	6031	6633	1818	1645	5545	4226	1110	1261	1533	1297	1132	1599	1281	987	1555	918	977	725	1198	956	1077	818	3829	5452	1698	806	915
6	69.0343		2770	4361	5464	5514	4723	5402	4692	6273	6549	4899	5530	2874	3908	4635	6053	6120	5862	4425	4819	6435	5065	7306	5339	5533	4407	4557	3641	4102	5797	5365	3354	4967	7157	4535	3774	6749	5234	4227	4955	5069	4082	4112	5903	4476	6514	6635	6574	3190	4818	6703	4729	5110	3301	3608	6024	5460	6298	6273	5250	6647	6829	5482	4678	6837	5740	7927	5032	4950	4949	4623	4632	5692	4833	5313	4845	6006	5612	5134	6467	3830	6119	5289	4509	6368	4111	4518	5935	4779	5790	5871	5357	4779	5159	4442	3332	4546	6577	5073	7097	6297	4587	3709	5243	5675	3980	6596	3621	5798	6913	5880	5772	4860	4994	5891	3996	5227	5649	6802	4646	5968	5011	4736	5734	7456	4637	5603	3269	2198	5664	7574	5485	6132	4777	4837	6118	6684	4688	4319	4166	4903	6332	4725	4881	6274	5268	4081	4711	5417	5406	6556	4548	4954	5595	6315	5411	5824	5296	5132	4966	5611	3994	5755	4631	5034	3817	4856	5772	5817	4481	4420	6177	6844	4752	4820	4428	4249	6481	4662	4551	5586	5910	4886	5773	5798	6149	6421	2678	3969	5292	5850	5390	6205	4289	4506	2471	3183	4112	3051	4477	3658	3970	4822	4568	3493	4567	3261	5059	6060	4093	4144	4015	4322	3292	6648	2075	3856	5366	3767	5667	5253	4716	3858	4985	4341	3462	3426	4351	4755	4262	4308	2674	3182	4806	4047	4285	5214	4827	4235	3373	4843	3613	4563	3434	4476	4874
7	70.0297		4759	6016	4714	5779	6416	5493	5676	5762	7659	5416	5418	6726	4826	5466	4882	5646	5721	4253	6031	5633	6179	5898	5745	7077	5384	7232	4560	4780	5802	4612	6901	6157	6073	6601	6369	5594	5287	6796	5937	5832	4113	4527	5574	7220	6281	7375	5449	5971	5302	6134	4952	7405	6538	5842	5326	6317	5733	5138	5603	5025	5689	6015	5131	5479	4535	6147	5566	5097	4282	6188	6070	5130	6456	6921	5884	6078	6139	6634	5768	5557	5313	4962	5731	6188	5578	5404	6726	6402	6414	5414	5242	5920	5392	5210	4818	5214	5210	7019	6448	6486	6447	4351	4799	6373	6827	7927	6176	5539	5932	6428	6248	6560	6395	5263	4366	6878	5444	6186	5877	5329	5503	6265	5604	5375	4864	6022	5000	5158	5621	5989	6229	5028	4834	4775	5214	6150	6382	4467	4522	6063	5131	7555	5153	4421	6484	5942	5256	4133	4144	4481	5921	6709	6058	5571	4357	4684	5653	6422	5728	5653	4803	5287	6232	5354	5174	4778	7460	4959	5085	6647	5676	7569	5811	4861	5251	6467	4804	5738	5140	6076	7134	5548	7434	6148	5300	5724	3882	4631	5885	4525	5208	5766	5773	5155	6785	6148	5602	6138	5000	5102	4873	6176	5273	4611	5327	6557	6988	5520	5011	3756	5556	5396	5388	5969	5764	6371	5460	6080	6972	6860	5273	5339	5300	4761	5103	6081	5415	7214	5584	5791	5801	5932	4711	6216	5450	4229	6131	3481	4637	4647	5610	5015	4910	7164	5266
8	71.0137		46164	43381	115672	118416	109012	109494	106610	114276	34630	36477	35442	32948	32911	27401	110118	118858	123690	123618	121160	125016	117771	120150	108467	108126	116391	117149	39491	38574	104730	103544	33432	36539	115759	118341	113656	112063	119584	117977	122012	112264	86330	86657	117679	120097	115228	128955	107518	109938	108023	111443	111938	121968	42233	43350	123511	120142	119598	127283	115123	120547	112965	124174	115455	114133	109794	114933	117319	122186	105463	98465	106494	105601	102301	103155	110518	110679	110284	111885	116952	111430	113388	115239	100845	104513	98908	99579	101182	110064	106201	111914	119928	107276	35990	35686	28946	27551	98714	100853	112014	124048	35147	35768	109543	105877	108593	108212	31426	29421	107675	102944	103402	95066	96919	96373	32513	32495	101339	102661	105138	110523	96997	105411	113752	116462	29481	27523	33479	30076	101283	104327	97168	96843	95215	104584	107089	114862	106012	110506	28426	32048	105067	102428	99449	104124	28895	33768	105882	103287	110173	115270	117000	111992	109348	110591	95483	97665	92562	98818	97622	111674	36573	34779	100757	107596	29886	31530	99317	110393	38121	42056	160011	158166	102163	100403	31533	30394	114398	108894	106244	107564	105036	108314	112723	113106	114879	110653	34625	38389	107781	107462	104374	109180	31623	29343	18451	17401	44402	40821	25636	30017	30883	26533	28530	32768	37945	35328	108792	114053	26872	27471	30715	29024	42583	42486	17083	17528	27538	31899	111546	111576	40941	41005	37577	36454	25537	26226	35567	41890	38444	38798	41292	40008	27444	28513	24746	28739	25918	27535	28223	30356	42401	39704	25469	27222	22653
9	72.0089		5637	6485	5838	9169	6288	8304	6705	8761	4883	5248	4771	4277	4247	3836	7436	8404	7359	6886	7102	8142	8053	7460	7253	6216	7180	6017	6151	6815	6622	9311	5593	5789	7193	6873	7850	7261	7769	8511	6123	7911	7873	6014	7075	8156	7693	6021	7305	8259	6398	6184	7429	8536	4679	4171	8387	7529	6954	7175	8186	8314	6783	6711	7032	6762	8667	7914	6664	6056	5494	6152	7094	7063	10151	7600	7317	8089	8071	7505	7513	5579	6477	7110	6633	7992	6858	8107	6426	5673	7686	7059	6504	6685	4367	5340	5846	5402	5363	5729	6649	6324	5604	5742	7990	5280	7798	9391	3825	4503	7496	6476	7278	6278	8122	6764	4759	4402	7540	6622	7081	7265	6947	7073	6683	7202	4150	4402	4586	3028	5445	7484	6274	6214	6675	8243	5946	6009	6226	6125	5296	4684	7567	8145	6828	6730	3058	4750	6869	6475	6002	6656	7450	5653	7001	8366	5054	5600	5960	8350	7550	7833	4804	5224	6099	6921	4480	5005	7057	7214	5444	5793	6672	6562	8627	6965	4629	5254	5314	6609	6825	7080	6580	7412	8798	7039	6166	8016	6380	6722	7704	5445	7587	6881	4695	4167	8087	7318	6428	4848	3171	3279	4505	4756	3219	4983	4958	3991	8634	8417	3549	4304	4533	4143	6281	5387	8616	7942	4859	4287	7406	7341	5205	3950	4721	5102	3551	2994	4157	4664	5358	4574	5119	5383	4448	4108	5514	4886	6461	5499	5295	4939	4647	6250	5055	3639	5041
10	72.0453		3942	4744	973	1248	800	1702	1033	1558	9600	10233	7656	9152	8222	10887	1908	1457	1354	1103	1355	531	1297	1783	970	661	1176	885	3887	5586	1654	1310	7467	7684	1307	1488	1878	2059	1776	1681	1966	1932	1360	1019	1231	1819	1859	2015	1902	1419	1757	1173	1003	2470	9141	8941	1318	2191	2299	1612	938	1618	1969	1005	1635	1874	1590	1598	1196	1623	866	837	1098	1007	1469	1773	1075	1779	1435	1421	1451	2385	945	784	825	948	1209	1651	889	1902	2010	2005	832	743	8642	6735	3918	4181	1239	1170	2048	1649	4696	3560	1202	1561	1339	1806	8830	9497	2067	1512	1030	651	1218	1341	8683	9385	1641	1758	1746	1370	1219	959	1342	1502	3404	3574	5640	4819	1316	1097	1389	1046	1193	577	1619	972	804	1538	7323	8847	1160	1474	1435	1219	4643	3941	1695	1047	881	1522	1538	1560	1239	1006	1170	1111	749	1600	832	812	7472	8156	1927	939	3123	5084	1887	934	7113	6129	1508	1020	1245	1391	4752	4976	1035	1167	1223	1245	1058	1714	1915	1149	1712	1477	4771	4899	1263	1042	1655	1362	6226	7549	1237	1187	9963	12060	5505	5902	5313	5055	11541	9208	8963	7380	1592	672	6118	3270	9303	8665	8949	7463	1083	1534	4002	4492	2061	1456	7587	7877	7311	7142	7407	7536	12563	12392	10280	13795	8465	8824	4777	5922	5059	4715	5404	4614	13708	14382	8038	7353	7164	7559	8252
11	72.9931		3722	4577	3415	4385	2751	4419	3194	5296	5192	3532	5584	5513	5900	7476	3741	5293	5324	4250	3697	5181	3790	6000	3264	4065	4137	3685	4342	4458	3832	3506	7401	6916	4326	3391	3947	3293	5313	3600	4551	4091	3463	3350	3536	3289	3797	3906	4298	3467	3839	4486	3702	4259	8087	6072	3672	3751	2729	4424	3921	5062	4393	3587	3772	3939	4715	4128	4686	3464	4065	4400	4328	4451	4327	3968	4224	4515	3709	3879	5683	5119	4383	2639	2951	3679	2860	4372	3371	3514	4111	3819	3872	3163	5865	4053	6123	5950	4008	4281	3162	3953	3562	3465	4488	3270	3121	2623	4700	4675	3558	3507	3594	3508	3669	2523	6870	5122	4074	2815	3874	4023	3348	3375	4069	4701	5078	5448	5753	5785	4852	5216	3346	2602	2713	3680	5193	3386	4016	4437	5748	5544	3647	3374	5891	4274	3043	3954	3318	3355	4506	4542	4193	3385	2960	5326	4482	3264	4230	4173	2999	5426	5222	6116	3785	3705	5772	5415	4123	3328	6168	4465	4669	7143	2394	4792	6375	5673	3167	4105	3869	4516	3948	4460	2904	4598	2558	4553	4405	4582	3831	5139	4012	4227	6305	7052	3276	1693	4095	5184	4994	5098	6873	6974	7084	6842	4799	4831	4738	5852	6167	7332	6674	6897	3323	4806	1977	1579	5985	6236	5169	5795	4939	4497	4510	4574	6154	5946	5940	4380	5600	4237	5991	3672	5313	5260	2955	4564	3389	5358	5595	5726	4772	5594	7211	6300	4363
